[BrainBitSignalData(PackNum=0, Marker=0, O1=0.04389271153708604, O2=0.31688262642157217, T3=0.05199895095725151, T4=0.26778513697160433), BrainBitSignalData(PackNum=0, Marker=0, O1=0.05639234198793601, O2=0.3293822568724221, T3=0.03949893903631119, T4=0.25528512505066403)]
[BrainBitSignalData(PackNum=1, Marker=0, O1=0.07860916005054479, O2=0.10367708556850964, T3=0.11216632095939728, T4=0.08238456953484491), BrainBitSignalData(PackNum=1, Marker=0, O1=0.06610914812960446, O2=0.11617671601935961, T3=0.09966630903845695, T4=0.09488419998569488)]
[BrainBitSignalData(PackNum=2, Marker=0, O1=-0.0685837446057745, O2=0.4, T3=-0.0677601506806857, T4=0.4), BrainBitSignalData(PackNum=2, Marker=0, O1=-0.05608411415492454, O2=0.38749998807905967, T3=-0.055260520229835734, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=3, Marker=0, O1=0.08329971628162029, O2=0.10060930310182868, T3=0.1123555301242162, T4=0.07676818539446392), BrainBitSignalData(PackNum=3, Marker=0, O1=0.07079970436067998, O2=0.11310893355267863, T3=0.09985551820327587, T4=0.08926781584531387)]
[BrainBitSignalData(PackNum=4, Marker=0, O1=-0.07027174975562073, O2=0.4, T3=-0.06743437522351764, T4=0.4), BrainBitSignalData(PackNum=4, Marker=0, O1=-0.05777211930477076, O2=0.4, T3=-0.05493474477266767, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=5, Marker=0, O1=0.08278549459981403, O2=0.11664020217914789, T3=0.10689669313115419, T4=0.08802536776100899), BrainBitSignalData(PackNum=5, Marker=0, O1=0.07028548267887372, O2=0.12913983262999787, T3=0.09439668121021387, T4=0.10052499821185895)]
[BrainBitSignalData(PackNum=6, Marker=0, O1=-0.06819388217342584, O2=0.4, T3=-0.06289221085759245, T4=0.4), BrainBitSignalData(PackNum=6, Marker=0, O1=-0.05569425172257588, O2=0.4, T3=-0.050392580406742486, T4=0.4)]
[BrainBitSignalData(PackNum=7, Marker=0, O1=0.07729118088834848, O2=0.14895338912333406, T3=0.09658975275969768, T4=0.1140622273084901), BrainBitSignalData(PackNum=7, Marker=0, O1=0.06479116896740815, O2=0.161453019574184, T3=0.08408974083875737, T4=0.12656185775934006)]
[BrainBitSignalData(PackNum=8, Marker=0, O1=-0.062927687575996, O2=0.4, T3=-0.053375676513363376, T4=0.4), BrainBitSignalData(PackNum=8, Marker=0, O1=-0.05042805712514603, O2=0.4, T3=-0.04087604606251341, T4=0.4)]
[BrainBitSignalData(PackNum=9, Marker=0, O1=0.06746069665975252, O2=0.19363421786710536, T3=0.0824391197577665, T4=0.15167327086760604), BrainBitSignalData(PackNum=9, Marker=0, O1=0.0549606847388122, O2=0.18113420594616503, T3=0.08179557971532794, T4=0.1391732589466657)]
[BrainBitSignalData(PackNum=10, Marker=0, O1=-0.05304837517583387, O2=0.4, T3=-0.03870166654745726, T4=0.4), BrainBitSignalData(PackNum=10, Marker=0, O1=-0.04724926686217009, O2=0.4, T3=-0.0478310087499702, T4=0.4)]
